#time	prediction	observation
168	-6.2233	-6.58143357162568
169	-6.22528	-6.58143357162568
170	-6.22794	-6.58143357162568
171	-6.22838	-6.58143357162568
172	-6.22744	-6.58143357162568
173	-6.22862	-6.58143357162568
174	-6.2305	-6.58143357162568
175	-6.23235	-6.58143357162568
176	-6.23297	-6.58143357162568
177	-6.23351	-6.58143357162568
178	-6.2346	-6.9096361205282815
179	-6.23594	-6.9096361205282815
180	-6.23775	-6.9096361205282815
181	-6.23738	-6.9096361205282815
182	-6.23667	-6.865695365045455
183	-6.23566	-6.865695365045455
184	-6.35248	-6.865695365045455
185	-6.35338	-6.865695365045455
186	-6.35382	-6.865695365045455
187	-6.35589	-6.865695365045455
188	-6.35871	-6.865695365045455
189	-6.35829	-6.865695365045455
190	-6.36135	-6.865695365045455
191	-6.36534	-6.865695365045455
192	-6.36781	-6.865695365045455
193	-6.37292	-6.865695365045455
194	-6.37336	-6.865695365045455
195	-6.37772	-6.865695365045455
196	-6.38355	-6.865695365045455
197	-6.38352	-6.865695365045455
198	-6.38142	-6.865695365045455
199	-6.37997	-6.865695365045455
200	-6.37891	-6.865695365045455
201	-6.37263	-6.667682755459021
202	-6.49362	-6.577114822169164
203	-6.49565	-6.326039599447225
204	-6.4991	-6.326039599447225
205	-6.5057	-6.326039599447225
206	-6.48916	-6.326039599447225
207	-6.49106	-6.326039599447225
208	-6.53037	-6.326039599447225
209	-6.53269	-6.326039599447225
210	-6.53479	-6.326039599447225
211	-6.53706	-6.326039599447225
212	-6.53822	-6.326039599447225
213	-6.54364	-6.326039599447225
214	-6.54725	-6.326039599447225
215	-6.55135	-6.326039599447225
216	-6.55462	-6.326039599447225
217	-6.55783	-6.326039599447225
218	-6.55999	-6.326039599447225
219	-6.56195	-6.326039599447225
220	-6.56274	-6.326039599447225
221	-6.56425	-6.326039599447225
222	-6.56673	-6.326039599447225
223	-6.57107	-6.326039599447225
224	-6.57093	-6.326039599447225
225	-6.4979	-6.326039599447225
226	-6.46396	-6.326039599447225
227	-6.33227	-6.577114822169164
228	-6.33304	-6.577114822169164
229	-6.33511	-6.577114822169164
230	-6.33452	-6.590218990866798
231	-6.33468	-6.590218990866798
232	-6.34063	-6.590218990866798
233	-6.34115	-6.590218990866798
234	-6.34455	-6.487956313732194
235	-6.34545	-6.487956313732194
236	-6.34615	-6.487956313732194
237	-6.34582	-6.487956313732194
238	-6.34728	-6.487956313732194
239	-6.35186	-6.487956313732194
240	-6.35228	-6.487956313732194
241	-6.36637	-6.487956313732194
242	-6.37315	-6.487956313732194
243	-6.37449	-6.487956313732194
244	-6.37695	-6.487956313732194
245	-6.37953	-6.487956313732194
246	-6.38136	-6.487956313732194
247	-6.38131	-6.487956313732194
248	-6.38069	-6.487956313732194
249	-6.38115	-6.487956313732194
250	-6.38433	-6.487956313732194
251	-6.47808	-6.487956313732194
252	-6.47636	-6.487956313732194
253	-6.47707	-6.487956313732194
254	-6.48066	-6.487956313732194
255	-6.48069	-6.487956313732194
256	-6.4796	-6.487956313732194
257	-6.47866	-6.487956313732194
258	-6.44092	-6.585795699701657
259	-6.44296	-6.825765695058977
260	-6.44179	-6.825765695058977
261	-6.4413	-6.825765695058977
262	-6.4399	-6.768657862096103
263	-6.44222	-6.768657862096103
264	-6.44162	-6.627216832297649
265	-6.44292	-6.627216832297649
266	-6.44245	-6.627216832297649
267	-6.44428	-6.627216832297649
268	-6.44349	-6.627216832297649
269	-6.44446	-6.627216832297649
270	-6.44436	-6.627216832297649
271	-6.44018	-6.627216832297649
272	-6.44024	-6.627216832297649
273	-6.43721	-6.627216832297649
274	-6.43713	-6.419976464830633
275	-6.45733	-6.419976464830633
276	-6.45705	-6.419976464830633
277	-6.45594	-6.419976464830633
278	-6.45591	-6.419976464830633
279	-6.45688	-6.419976464830633
280	-6.4543	-6.419976464830633
281	-6.45063	-6.419976464830633
282	-6.48586	-6.419976464830633
283	-6.57186	-6.419976464830633
284	-6.57374	-6.419976464830633
285	-6.57294	-6.419976464830633
286	-6.54874	-6.419976464830633
287	-6.54656	-6.419976464830633
288	-6.49604	-6.419976464830633
289	-6.49171	-6.419976464830633
290	-6.49155	-6.419976464830633
291	-6.49166	-5.949774962116345
292	-6.49359	-5.777751883141068
293	-6.49373	-5.777751883141068
294	-6.49626	-5.777751883141068
295	-6.49657	-5.777751883141068
296	-6.49483	-5.777751883141068
297	-6.49455	-5.777751883141068
298	-6.41025	-5.777751883141068
299	-6.4181	-5.777751883141068
300	-6.41458	-5.777751883141068
301	-6.4146	-5.777751883141068
308	-6.42741	-5.777751883141068
309	-6.42584	-5.777751883141068
310	-6.42486	-5.777751883141068
311	-6.42421	-5.777751883141068
312	-6.42701	-5.777751883141068
313	-6.42649	-5.777751883141068
314	-6.42971	-5.777751883141068
315	-6.15753	-5.777751883141068
316	-6.05926	-5.856111241890725
317	-6.0584	-5.986825590121132
318	-6.05919	-5.986825590121132
319	-6.05928	-5.986825590121132
320	-6.05791	-5.986825590121132
321	-6.05764	-5.986825590121132
322	-6.05632	-5.986825590121132
323	-6.05434	-5.986825590121132
324	-6.05369	-5.986825590121132
325	-6.05285	-5.986825590121132
326	-6.05182	-6.3664810479978335
327	-6.05069	-5.940739595878268
328	-6.0502	-5.940739595878268
329	-6.05122	-5.940739595878268
330	-6.05012	-5.940739595878268
331	-6.05184	-5.940739595878268
332	-6.05445	-5.940739595878268
333	-6.05735	-5.940739595878268
334	-6.06008	-5.940739595878268
335	-6.06032	-5.940739595878268
504	-5.69566	-5.60621428073894
505	-5.69576	-5.60621428073894
506	-5.69582	-5.60621428073894
507	-5.69233	-5.60621428073894
508	-5.68469	-5.60621428073894
509	-5.75173	-5.60621428073894
510	-5.747	-5.60621428073894
511	-5.73947	-5.60621428073894
512	-5.73746	-5.60621428073894
513	-5.72167	-6.118855098861115
514	-5.72059	-6.350869677878054
515	-5.71994	-6.350869677878054
516	-5.71826	-6.350869677878054
517	-5.71279	-6.350869677878054
518	-5.70917	-6.350869677878054
519	-5.70785	-6.564394497977159
520	-5.70732	-6.564394497977159
521	-5.70746	-6.564394497977159
522	-5.70564	-6.564394497977159
523	-5.70699	-6.536077163621764
524	-5.70655	-6.536077163621764
525	-5.70672	-6.536077163621764
526	-5.70847	-6.536077163621764
527	-5.71052	-6.536077163621764
528	-5.71455	-6.536077163621764
529	-5.71578	-6.536077163621764
530	-5.71688	-6.536077163621764
531	-5.71628	-6.536077163621764
532	-5.71653	-6.536077163621764
533	-5.74537	-6.536077163621764
534	-5.74348	-6.259069151352533
535	-5.74041	-5.839261431887417
536	-5.73974	-5.839261431887417
537	-5.95122	-5.839261431887417
538	-6.04949	-5.839261431887417
539	-6.04772	-5.839261431887417
540	-6.04694	-5.839261431887417
541	-6.04725	-5.839261431887417
542	-6.04692	-5.839261431887417
543	-6.13861	-5.839261431887417
544	-6.13878	-5.839261431887417
545	-6.13822	-5.839261431887417
546	-6.13746	-5.839261431887417
547	-6.12511	-5.839261431887417
548	-6.12837	-5.839261431887417
549	-6.13158	-5.839261431887417
550	-6.13644	-5.839261431887417
551	-6.13877	-5.839261431887417
552	-6.14199	-5.839261431887417
553	-6.14407	-5.839261431887417
554	-6.14548	-5.839261431887417
555	-6.1458	-5.839261431887417
556	-6.14442	-5.839261431887417
557	-6.15794	-5.839261431887417
558	-6.0406	-5.839261431887417
559	-5.86777	-6.302552692627474
560	-5.86931	-6.594670718197124
561	-5.91615	-6.608324046762704
562	-5.91934	-6.833451485261245
563	-5.92082	-6.833451485261245
564	-5.92402	-6.958567835319735
565	-5.92612	-6.958567835319735
566	-5.92817	-6.958567835319735
567	-5.9315	-6.958567835319735
568	-5.935	-6.958567835319735
569	-5.93706	-6.958567835319735
570	-5.93998	-6.948307358201963
571	-5.94348	-6.948307358201963
572	-5.94832	-6.948307358201963
573	-5.95341	-6.948307358201963
574	-5.95874	-6.948307358201963
575	-5.96449	-6.948307358201963
576	-5.96847	-6.948307358201963
577	-5.97154	-6.782252926737206
578	-5.97374	-6.782252926737206
579	-5.97551	-6.477568808565841
580	-5.97762	-6.477568808565841
581	-5.97915	-6.477568808565841
582	-5.97889	-6.477568808565841
583	-6.16828	-6.477568808565841
584	-6.29049	-6.477568808565841
585	-6.31278	-6.477568808565841
586	-6.40709	-6.477568808565841
587	-6.40991	-6.477568808565841
588	-6.46466	-6.477568808565841
589	-6.46685	-6.477568808565841
590	-6.46888	-6.477568808565841
591	-6.47187	-6.477568808565841
592	-6.47457	-6.477568808565841
593	-6.478	-6.477568808565841
594	-6.47645	-6.477568808565841
595	-6.47917	-6.477568808565841
596	-6.48214	-6.477568808565841
597	-6.48457	-6.477568808565841
598	-6.48839	-6.477568808565841
599	-6.49307	-6.460798400705872
600	-6.49504	-6.460798400705872
601	-6.43146	-6.460798400705872
602	-6.43601	-6.460798400705872
603	-6.31586	-6.350869677878054
604	-6.32208	-6.350869677878054
605	-6.33128	-6.350869677878054
606	-6.33759	-6.350869677878054
607	-6.41029	-6.350869677878054
608	-6.44632	-6.350869677878054
609	-6.45705	-6.174729710896174
610	-6.46088	-6.174729710896174
611	-6.46227	-6.174729710896174
612	-6.46416	-6.174729710896174
613	-6.46295	-5.888367888291399
614	-6.46397	-5.888367888291399
615	-6.4635	-5.888367888291399
616	-6.46723	-5.888367888291399
617	-6.47317	-5.888367888291399
